metric,value
impressions,1000209.0
clicks,378505.0
plays,301012.0
completes,182644.0
ctr,0.37842590898502215
play_rate_given_click,0.7952655843383839
completion_rate_given_play,0.6067665076475356
unique_users,6040.0
unique_movies,3706.0
sessions,25163.0
total_watch_hours,405191.03222222225
avg_watch_minutes_per_play,80.765756625428
avg_events_per_session,74.01224019393554
avg_plays_per_session,11.962484600405357
avg_daily_active_users,18.540618955512574
peak_daily_active_users,700.0
d7_retention_proxy,0.2857615894039735
