model,K,Precision@K,Recall@K,MAP@K,NDCG@K,users_evaluated
Popularity,5,0.004739022369511185,0.023695111847555923,0.012665009665838167,0.015364057150199525,6035
Popularity,10,0.004424192212096107,0.044241922120961064,0.01534343314790705,0.02194394741491317,6035
Popularity,20,0.0037448218724109366,0.07489643744821872,0.017420628981435267,0.0296317326651297,6035
Content-Based,5,0.00019884009942004973,0.0009942004971002485,0.0006462303231151616,0.0007298484454085403,6035
Content-Based,10,0.000347970173985087,0.0034797017398508698,0.0009630988545653002,0.001517639319567342,6035
Content-Based,20,0.0009444904722452362,0.01888980944490472,0.001966860420328451,0.0053309863573678335,6035
Collaborative Filtering,5,0.010306545153272577,0.051532725766362884,0.026210991438829052,0.03242243700332137,6035
Collaborative Filtering,10,0.008268434134217068,0.08268434134217068,0.030381767730566403,0.04250928689515106,6035
Collaborative Filtering,20,0.007075393537696769,0.14150787075393537,0.03431908752762211,0.05719847368310367,6035
Hybrid,5,0.00811930405965203,0.04059652029826015,0.01556752278376139,0.021729876627430953,6035
Hybrid,10,0.007754763877381939,0.07754763877381939,0.02049137965045173,0.03367191297680328,6035
Hybrid,20,0.006727423363711682,0.13454846727423364,0.02424545497458023,0.04783077140063002,6035
