component,value
Training interactions,979120
Evaluation users,500
Catalog size,3883
Unique recommended movies,254
Catalog coverage,0.06541334020087561
Precision@10,0.005
Recall@10,0.05
Hit Rate@10,0.05
MAP@10,0.018712698412698413
NDCG@10,0.025988857427508835
Genre diversity,0.23457777777777777
A/B control success rate,0.046
A/B treatment success rate,0.05
A/B absolute uplift,0.0040000000000000036
A/B relative uplift,0.08695652173913052
A/B p-value,0.7673345803367371
Statistically significant,False
