user_id,precision_at_10,recall_at_10,hit_rate_at_10,map_at_10,ndcg_at_10,genre_diversity,history_size,relevant_items,user_segment
1,0.0,0.0,0.0,0.0,0.0,0.5111111111111111,52,1,Very Heavy (26+)
2,0.0,0.0,0.0,0.0,0.0,0.4,125,1,Very Heavy (26+)
3,0.0,0.0,0.0,0.0,0.0,0.24444444444444444,50,1,Very Heavy (26+)
4,0.0,0.0,0.0,0.0,0.0,0.0,18,1,Heavy (11-25)
5,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,193,1,Very Heavy (26+)
6,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,70,1,Very Heavy (26+)
7,0.0,0.0,0.0,0.0,0.0,0.0,23,1,Heavy (11-25)
8,0.0,0.0,0.0,0.0,0.0,0.4,137,1,Very Heavy (26+)
9,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,104,1,Very Heavy (26+)
10,0.0,0.0,0.0,0.0,0.0,0.28888888888888886,400,1,Very Heavy (26+)
11,0.0,0.0,0.0,0.0,0.0,0.28888888888888886,135,1,Very Heavy (26+)
12,0.0,0.0,0.0,0.0,0.0,0.4,19,1,Heavy (11-25)
13,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,91,1,Very Heavy (26+)
14,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,23,1,Heavy (11-25)
15,0.0,0.0,0.0,0.0,0.0,0.4222222222222222,200,1,Very Heavy (26+)
16,0.0,0.0,0.0,0.0,0.0,0.2,31,1,Very Heavy (26+)
17,0.0,0.0,0.0,0.0,0.0,0.0,207,1,Very Heavy (26+)
18,0.0,0.0,0.0,0.0,0.0,0.17777777777777778,304,1,Very Heavy (26+)
19,0.0,0.0,0.0,0.0,0.0,0.24444444444444444,254,1,Very Heavy (26+)
20,0.0,0.0,0.0,0.0,0.0,0.0,23,1,Heavy (11-25)
21,0.0,0.0,0.0,0.0,0.0,0.4,21,1,Heavy (11-25)
22,0.0,0.0,0.0,0.0,0.0,0.35555555555555557,296,1,Very Heavy (26+)
23,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,290,1,Very Heavy (26+)
24,0.0,0.0,0.0,0.0,0.0,0.3111111111111111,135,1,Very Heavy (26+)
25,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,83,1,Very Heavy (26+)
26,0.1,1.0,1.0,0.1,0.2890648263178879,0.0,398,1,Very Heavy (26+)
27,0.0,0.0,0.0,0.0,0.0,0.4888888888888889,66,1,Very Heavy (26+)
28,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,106,1,Very Heavy (26+)
29,0.0,0.0,0.0,0.0,0.0,0.0,104,1,Very Heavy (26+)
30,0.0,0.0,0.0,0.0,0.0,0.28888888888888886,41,1,Very Heavy (26+)
31,0.0,0.0,0.0,0.0,0.0,0.0,115,1,Very Heavy (26+)
32,0.0,0.0,0.0,0.0,0.0,0.5111111111111111,42,1,Very Heavy (26+)
33,0.0,0.0,0.0,0.0,0.0,0.4888888888888889,385,1,Very Heavy (26+)
34,0.0,0.0,0.0,0.0,0.0,0.0,163,1,Very Heavy (26+)
35,0.0,0.0,0.0,0.0,0.0,0.3111111111111111,195,1,Very Heavy (26+)
36,0.0,0.0,0.0,0.0,0.0,0.4888888888888889,350,1,Very Heavy (26+)
37,0.1,1.0,1.0,0.125,0.31546487678572877,0.24444444444444444,51,1,Very Heavy (26+)
38,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,98,1,Very Heavy (26+)
39,0.0,0.0,0.0,0.0,0.0,0.35555555555555557,60,1,Very Heavy (26+)
40,0.1,1.0,1.0,0.16666666666666666,0.3562071871080222,0.044444444444444446,91,1,Very Heavy (26+)
41,0.0,0.0,0.0,0.0,0.0,0.4888888888888889,24,1,Heavy (11-25)
42,0.0,0.0,0.0,0.0,0.0,0.08888888888888889,230,1,Very Heavy (26+)
43,0.1,1.0,1.0,0.5,0.6309297535714575,0.13333333333333333,23,1,Heavy (11-25)
